,name,EAN_code,brand,price_in_pound,stars,number of reviews,Form,size,availablty,description
90,Bioderma Crealine (Sensibio) H2O Micelle Solution 500ml,3401575645790,Bioderma,9.99,0.0,0,Solution,500ml,In stock,"Specially formulated for the sensitive normal to dry skins, Bioderma Crealine (Sensibio *) H2O Micelle Solution guarantees a mild cleansing of face and eyes (eliminates waterproof make up). Micells allow a perfect micro-emulsion of the stains while respecting the cutaneous balance (soap free, physiological pH. Soothing and decongestant active ingredients prevent from sensations of irritation, often linked to cleansing.Excellent cutaneous and occular tolerance.Fragrance-free, alcohol-free, phenoxyethanol-free.*Sensibio is the international name for Créaline."
91,Bioderma Hydrabio Cream Rich Moisturising Care 50ml,3401329447687,Bioderma,17.20,0.0,0,Cream,50ml,In stock,"Bioderma Hydrabio Cream Rich Moisturising Care 50ml is a cream especially formulated for the care and moisturising of the dry to very dry sensitive skins. This moisturising cream contains actives ingredients of the Aquagenium patent that act in a more targeted and effective manner to reactivate the natural moisturising process and boost water circulation within the cells. It has a smoothing action and refines the skin texture while reviving the natural radiance of the complexion. This cream contains also Vitamin E which contributes to protect the skin from oxidative stress and to fight against premature aging.Results are visible, the skin is durably moisturized and finds its radiance, its softness and bounce. Micro fine lines are faded. Hypoallergenic. Non comedogenic. Perfumed formula."
92,Eucerin Anti-Pigment Serum Duo 30ml,4005800210617,Eucerin,33.60,0.0,0,Serum,30ml,In stock,"Sun exposure, hormonal influences, and age can cause hyperpigmentation, which results in brown spots and age spots that make skin less uniform.Eucerin Anti-Pigment Serum Duo 30ml is a true innovation with a pink formula that contains Thiamidol a patented active ingredient and a white formula that contains concentrated hyaluronic acid.The first results are visible after 2 weeks and the serum offers continuous improvement thanks to a regular application, for a smooth and renewed appearance and a luminous and evened skin."
93,Uriage Moisturising Lipstick 2 x 4g,3661434004773,Uriage,6.30,0.0,0,Stick,2 x 4g,In stock,"Uriage Moisturising Lipstick 2 x 4g repairs, nourishes and protects the damaged lips.Very practical, it accompanies you everywhere, for an immediate and durable lip care.Hypoallergenic, water-free."
94,Avène Cleanance Cleansing Gel 100ml,3282770207712,Avène,4.10,0.0,0,Gel,100ml,In stock,"Avène Cleanance Cleansing Gel 100ml is a gel with a formula that respects sensitive skin and offers a combination of active ingredients providing triple benefits:cleanser: it cleanses the skin thanks to its gentle cleansing base;mattifying: thanks to Comedoclastin ?, a plant active ingredient derived from milk thistle seeds with patented properties, excess sebum is reduced;soothing: Avène thermal spring water restores all its soothing and anti-irritant properties.The skin is thus clear, fresh, purified and less shiny.Suitable for contact lens wearers.Very good skin tolerance.Without soap.Made in France. "
95,CeraVe Foaming Moisturizing Face Wash 236ml,3337875743563,CeraVe,9.60,0.0,0,Cream,236ml,In stock,"CeraVe Foaming Moisturizing Face Wash 236ml is a care product that cleanses, moisturises and removes make-up without altering the skin's protective barrier.It effectively cleanses impurities, dirt and pollution. It effectively removes make-up without leaving residues, even long-lasting make-up. It is based on 3 essential ceramides, amino acids and hyaluronic acid. Its MVE technology offers a prolonged diffusion of active ingredients for continuous hydration throughout the day. The Amino Acids help to attract and retain water in the skin.Its creamy texture transforms into a creamy, enveloping foam. The skin is soft and moisturised.Physiological pH.Fragrance free.Made in France. "
97,Filorga TIME-FILLER Absolute Wrinkles Correction Cream 50ml,3401352045003,Filorga,49.99,0.0,0,Cream,50ml,In stock,"Filorga TIME-FILLER Absolute Wrinkles Correction Cream 50ml is a cream that brings all the expertise of Filorga anti-ageing aesthetic medicine in a highly concentrated elixir that corrects all types of wrinkles.Contraction wrinkles: a botox-like tripeptide limits muscular contractions and relaxes the skin for a younger-looking face;Wrinkles caused by sagging: a powerful peptide combined with NCTF, stimulates the synthesis of the six major tissue components. Simultaneously, a peeling-like active ingredient smoothes micro-reliefs;Dryness wrinkles: hyaluronic acid, a reference compound used in injections, is encapsulated for deeper diffusion and a visible filler effectAfter just 3 days, frown lines are reduced. After 28 days, all types of wrinkles are reduced dramatically. "
98,CeraVe Moisturising Lotion 236ml,3337875597210,CeraVe,8.70,0.0,0,Milk,236ml,In stock,"CeraVe Moisturising Lotion 236ml developed by dermatologists, is a moisturising lotion that nourishes and moisturises dry to very dry skin (face and body) without altering the protective barrier of the skin.Ideal for dry to very dry skin, this formula contains 3 essential ceramides that healthy skin needs to help renew and maintain its natural protective barrier, and hyaluronic acid.Without perfume, non comedogenic. Hypoallergenic."
99,Bioderma Sébium Exolifating Purifying Gel 100ml,3401574131423,Bioderma,9.99,0.0,0,Gel,100ml,In stock,"Bioderma Sébium Exolifating Purifying Gel 100ml is a care that cleanses the skin in gentleness and unclogs the pores.With its micro-beads and kerator-regulating active ingredients, it promotes the elimination of imperfections, smooths the skin texture and avoids the pores obstructions.D.A.E natural complex (Dermatological  Advanced Formulation) increases the tolerance threshold of the epidermis. The skin is comfortable, the complexion enlightens. It prepares the skin to the application of care cream.Its extra-soft formula is soap free and offers an excellent tolerance.Non comedogenic. Hypoallergenic.Made in France. "
100,La Roche-Posay Effaclar H 40ml,3337872410208,La Roche-Posay,9.99,0.0,0,Cream,40ml,In stock,"La Roche-Posay Effaclar H 40ml is a cream created for oily skin weakened by drying cares. This care with a super fine texture and a non-greasy and non-sticky finish compensates for the visible and felt side effects of drying treatments.It contains a new generation of lipids to help rebuild the skin barrier as a whole, combined with the soothing niacinamide.Upon application, the skin is intensely relieved and regains lasting comfort and suppleness. Dry patches, redness and dander are visibly reduced, and the skin regains a smooth feel.Non-comedogenic.Tested under dermatological control.Made in France. "
101,La Roche-Posay Pure Vitamin C10 Renovating Serum 30ml,3337875660570,La Roche-Posay,29.99,0.0,0,Serum,30ml,In stock,"La Roche-Posay Pure Vitamin C10 Renovating Serum 30ml is a unique renovating anti-aging serum with a high concentration of pure Vitamin C, Salicylic Acid and soothing Neurosensine, at a physiological pH to reveal all the radiance of sensitive skin.Its texture is light and penetrates quickly. Instantly, the skin is softer, rehydrated, radiant. Wrinkles and fine lines are reduced, the skin is smoother. The skin texture is refined, as transformed. The complexion is evened and appears more uniform. The skin regains all its brilliance."
102,CeraVe Moisturising Lotion 88 ml,3337875597364,CeraVe,4.10,0.0,0,Milk,88 ml,In stock,"CeraVe Moisturising Lotion 88 ml is a skin care indicated to dry to very skin. It nourishes, moisturizes and helps to restore the protective barrier of the skin. Its light and non-oily texture is enriched with 3 essentials ceramides with hyaluronic acid. It offers hydration all day long and from the first application.Hypoallergenic. Non-comedogenic.Fragrance-free.Made in France. "
103,Bioderma Atoderm Intensive Ultra-Soothing Balm 75ml,3701129802083,Bioderma,7.20,0.0,0,Balm,75ml,In stock,"Bioderma Atoderm Intensive Ultra-Soothing Balm 75ml is an ultra-soothing and ultra-rich care recommended for sensitive very dry irritated to atopic skins of the whole family (adults, children, infants).Anti-itching, this balm restores and re-lipids the skin acting on the biological dis-functioning. It stops itching and reduces the need to scratch thanks to its dermatological anti-prurit PEA active ingredient. It immediately calms irritations thanks to the presence of beta-sistosterol and zinc.The Lipigenium composed of biolipids, allows to durably restore the cutaneous barrier. Indeed, these biolipids come into the skin and restore the protective film.The Skin Barrier Therapy allows to limit the adhesion and proliferation of staphylococcus aureus and the penetration of allergens, responsible of the dryness acceleration.Sanitised, the skin is soothed and repaired.Fragrance free, excellent tolerance, non comedogenic. Paraben free. Hypoallergenic.Made in France."
104,Avène TriXéra Nutrition Nutri-Fluid Balm 400ml,3282770074741,Avène,15.40,0.0,0,Balm,400ml,In stock,"Avène TriXéra Nutrition Nutri-Fluid Balm 400ml is a daily care without fragrance that repairs, nourishes and soothes the face and body of sensitive dry to very dry skins for the whole family.The formula of this care contains a plant lipid trio and Sélectiose that restore the skin barrier for a skin nourished and hydrated for 48 hours. The Avène thermal spring water contained in the formula soothes irritated dry skin from tightness.Non-greasy and non-sticky, its unctuous fluid texture allows an application and a quick dressing.Hypoallergenic formula. Not comedogenic."
105,Eucerin Aquaporin Active Revitalizing Eye Contour Care 15ml,4005800128127,Eucerin,14.50,0.0,0,Cream,15ml,In stock,"Eucerin Aquaporin Active Revitalizing Eye Contour Care 15ml is a moisturizing and anti-aging care for the eye contour.Its innovative formula with a gluco-glycerol basis, a natural active ingredient, enhances the activation of natural networks of hydration, the aquaporines. They stimulate the circulation of molecules of water through the cells and restore the inside of the natural balance of hydration of the skin.The ginseng present in the formula is combined with a refreshing applicator that allows to reduce the birth of dark circles and puffiness.Results: the eye contour is durably moisturised, the chance of birth for dark circles and puffiness is reduced.Fragrance-free. Paraben-free. Ophthalmic tested. Excellent make-up basis."
106,Laboratoire ACM Dépiwhite Whitening Peel-Off Mask 40ml,3760095250106,Laboratoire,16.30,4.0, 3 ,Mask,40ml,In stock,Laboratoire ACM Dépiwhite Whitening Peel-Off Mask 40ml is a care which attenuates and favors the disappearance of brown spots and avoid their reappearance. This care unifies the complexion thanks to its exfoliating action. It also allows a faster and deeper penetration of the actives. Cuteanous hyperpigmentations decrease and the complexion lightens.Made in France.
107,Vichy Pore Purifying Clay Mask 2 x 6ml,3337875533713,Vichy,2.99,5.0, 5 ,Cream,2 x 6ml,In stock,"Vichy Pore Purifying Clay Mask 2 x 6ml with fluid cream texture purifies the skin, reduces the sebum excess and visible pores.Its formula contains 2 purified mineral clay with absorbing properties, Kaolin clay and Bentonite, and aloe vera with moisturising properties. It also contains Vichy Thermal Water with mineralizing properties.Its unctuous and delicately scented texture gives an intense well-being sensation from the first application.Immediately, the skin is clean, matified, softer and after one month, pores and imperfections are clearly reduced.Paraben-free.Tested under dermatological control on sensitive skin.Made in France. "
108,Avène Akérat 30 Cream for Localized Areas 100ml,3282779128384,Avène,13.20,4.0, 16 ,Cream,100ml,In stock,"Avène Akérat 30 Cream localised zones has been especially formulated to respond, in a targeted way, to the care of the skins with keratosic and squamous tendency :- Rich in Avène Spring Thermal Water, it restores all its alleviating and anti-irritating properties.- The association reinforced in hydrating *, emollient and kerato-reducing agents enables to make skin flexible again while compensating for the cutaneous dryness, by eliminating the unaesthetic squames and reducing the thickened areas of the cornea layer. Hypoallergenic and non comedogenic product."
